Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Order,Industry Logo,Title
Education-Texas-Dallas,education,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05de1facfa78b422d79222,false,true,Thu May 14 2026 14:37:19 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:08:47 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We develop learning management systems, student engagement platforms, and administrative tools for schools and edtech companies across Texas.",16,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e0ac2ecd05a0648d433e_education%20(1).webp,Education
Insurance & Financial Services-Springfield,insurance-financial-services,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e22a746e9788a76bcedf,false,true,Thu May 14 2026 14:54:34 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:08:19 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Springfield is home to MassMutual. We build secure, compliant digital tools for insurance and financial services firms across Western Massachusetts.",17,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e5585e94b853f4a4ef51_insuarance.webp,Insurance & Financial Services
Education & Higher Ed-Springfield,education-higher-ed,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e22a746e9788a76bcee1,false,true,Thu May 14 2026 14:54:34 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:08:21 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build custom web platforms, learning management systems, and apps for UMass Amherst, Smith College, Amherst College, and local institutions across Western Massachusetts.",18,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e0ac2ecd05a0648d433e_education%20(1).webp,Education & Higher Ed
Nonprofit,nonprofit,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e22a746e9788a76bcee3,false,false,Thu May 14 2026 14:54:34 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:06:16 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Competitive pricing and flexible engagement models for nonprofits. We help organizations build donor management tools, event registration platforms, and volunteer coordination apps that extend their mission.",19,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e54ada2388da46a44ae5_nonprofit.webp,Nonprofit
Hospitality & Tourism,hospitality-tourism,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e22a746e9788a76bcee5,false,false,Thu May 14 2026 14:54:34 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:06:16 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build booking platforms, loyalty apps, mobile ticketing, and visitor experience tools for hospitality brands, hotels, restaurants, and entertainment venues.",20,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf407471d2d5b8f97db0_booking.webp,Hospitality & Tourism
Retail & Manufacturing,retail-manufacturing,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e22a746e9788a76bcee7,false,false,Thu May 14 2026 14:54:34 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"E-commerce platforms and custom web applications for retailers and manufacturers. We build inventory management systems, mobile shopping apps, and digital storefronts that drive revenue.",21,,Retail & Manufacturing
Agriculture-Ohio,agriculture,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e637f8ba6babba9f7079,false,true,Thu May 14 2026 15:11:51 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:07:42 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build field tracking apps, equipment maintenance platforms, and supply chain portals for agricultural businesses across Pickaway County and surrounding Ohio farming communities.",22,,Agriculture
Contractors & Service Companies,contractors-service-companies,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e637f8ba6babba9f707b,false,false,Thu May 14 2026 15:11:51 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Estimate builders, job tracking tools, and customer communication apps for contractors and service companies. We build the operational software that keeps field teams and clients connected.",23,,Contractors & Service Companies
Professional Services,professional-services,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e637f8ba6babba9f707d,false,false,Thu May 14 2026 15:11:51 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Client portals, CRM integrations, and billing tools for professional services firms. We build the back-office software that reduces manual work and keeps your client relationships organized.",24,,Professional Services
Manufacturing,manufacturing,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05e637f8ba6babba9f707f,false,false,Thu May 14 2026 15:11:51 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Production dashboards, inventory management systems, and scheduling tools for manufacturing companies. We build the operational software that keeps production floors running efficiently.",25,,Manufacturing
Military & Government-San Antonio,military-government,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05ecc0a90eb9eb848f8ed4,false,true,Thu May 14 2026 15:39:44 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:07:20 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Military City USA is anchored by Joint Base San Antonio. We develop secure, scalable applications for defense contractors and government agencies that require controlled access, audit logging, and data encryption at rest and in transit.",28,,Military & Government
FinTech — Miami,fintech-miami,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf35067e,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Miami has become a serious FinTech hub. We build secure, compliant financial applications -- payment platforms, banking interfaces, and investment tools -- that handle sensitive data responsibly and meet regulatory requirements.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,FinTech
Healthcare — Miami,healthcare-miami,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350680,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"From telehealth platforms to patient intake apps, we build healthcare software for Miami that prioritizes usability and data security. If your project involves protected health information, we build with HIPAA considerations from day one.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Real Estate — Miami,real-estate-miami,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350682,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Miami's real estate market moves fast. We've built property search apps, agent tools, and transaction platforms that help real estate professionals close deals faster and give buyers a better experience.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate
E-commerce — Miami,ecommerce-miami,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350684,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Whether you're selling online, managing inventory across locations, or building a marketplace, we develop e-commerce solutions that scale with your business. Mobile commerce is where Miami shoppers are headed, and we build for that.",4,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,E-commerce
Hospitality — Miami,hospitality-miami,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350686,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Miami's hospitality industry needs technology that keeps up with guest expectations. We build booking systems, loyalty apps, and operational tools for hotels, restaurants, and entertainment venues across South Florida.",5,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf407471d2d5b8f97db0_booking.webp,Hospitality
Fintech & Banking — San Francisco,fintech-sf,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350688,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"The Bay Area's fintech ecosystem demands apps that are fast, secure, and compliant. We build payment platforms, trading dashboards, and financial tools with enterprise-grade security for San Francisco fintech companies.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Fintech & Banking
Healthcare — San Francisco,healthcare-sf,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf35068a,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"For San Francisco healthtech companies, we develop HIPAA-compliant mobile app development solutions and web development platforms -- from patient portals to telehealth apps -- with encrypted data handling and audit-ready architecture.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
E-Commerce & Marketplace — San Francisco,ecommerce-sf,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf35068c,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build scalable marketplace platforms and e-commerce apps with real-time inventory, payment processing, and AI-powered recommendation engines for San Francisco's e-commerce and marketplace sector.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,E-Commerce & Marketplace
Fintech & Banking — New York,fintech-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf35068e,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"New York is the financial capital of the world. We build secure mobile and web applications for fintech startups and established financial institutions, with deep experience in PCI DSS and SOC 2 compliance. From mobile banking interfaces to trading dashboards, our fintech work is built for the regulatory scrutiny that comes with operating on or near Wall Street.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Fintech & Banking
Healthcare & Telehealth — New York,healthcare-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350690,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We develop HIPAA-compliant healthcare applications including telehealth platforms, patient portals, and EHR integrations. NYC's dense healthcare network -- from Mount Sinai to neighborhood clinics -- demands reliable, secure digital tools that patients and providers can trust.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare & Telehealth
Retail & E-commerce — New York,retail-ecommerce-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350692,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"For NYC's retail sector, we build mobile commerce apps and e-commerce platforms with Shopify and Magento integrations, checkout optimization, and inventory management. Whether you operate storefronts in SoHo or sell exclusively online, we build for conversion.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,Retail & E-commerce
Media & Entertainment — New York,media-entertainment-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350694,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"New York is a global media hub. We build streaming platforms, live content delivery systems, and membership-based digital products for media companies, content creators, and entertainment brands operating out of Midtown, Chelsea, and beyond.",4,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05da9413792ebc984aa89b_entertainment.webp,Media & Entertainment
Real Estate & PropTech — New York,real-estate-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350696,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"In one of the world's hottest real estate markets, we build property search apps, virtual tour platforms, and tenant management portals. NYC real estate moves fast -- your technology needs to move faster.",5,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate & PropTech
On-Demand & Logistics — New York,logistics-nyc,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05efe395fac0badf350698,false,false,Thu May 14 2026 15:53:07 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"From delivery services to fleet management, we build on-demand booking apps and logistics platforms tailored to the operational complexity of serving New York City's five boroughs.",6,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05da8b0c8742d51f6b6e57_logistics.webp,On-Demand & Logistics
Fintech & Banking — Dallas,fintech-dallas,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4be,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"With major financial institutions headquartered in the Dallas-Fort Worth metro, we develop secure mobile banking apps, payment processing platforms, and financial dashboards that meet compliance requirements.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Fintech & Banking
Healthcare — Dallas,healthcare-dallas,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4c0,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Dallas is home to one of the largest medical districts in the country. We build HIPAA-compliant patient portals, telehealth platforms, and clinical workflow apps for healthcare providers across DFW, combining custom mobile app builds with secure web portals.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Real Estate — Dallas,real-estate-dallas,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4c2,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"The DFW real estate market is one of the most active in the country. We build property search apps, agent platforms, and virtual tour integrations for brokerages and proptech startups.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate
Retail & E-Commerce — Dallas,retail-dallas,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4c4,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"From NorthPark Center boutiques to omnichannel brands, we build custom e-commerce platforms, inventory management systems, and mobile shopping apps that drive revenue.",4,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,Retail & E-Commerce
Healthcare & Bioscience — San Antonio,healthcare-san-antonio,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4c6,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"San Antonio is home to the South Texas Medical Center, UT Health San Antonio, and University Health System. We build HIPAA-compliant patient portals, telehealth platforms, and clinical workflow apps that integrate with existing EHR systems.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare & Bioscience
Hospitality & Tourism — San Antonio,hospitality-san-antonio,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4c8,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"The River Walk, the Alamo, and the Pearl District draw millions of visitors annually. We build booking platforms, loyalty apps, and visitor experience tools for San Antonio's hospitality brands. Mobile app development includes offline-capable features and real-time inventory sync.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf407471d2d5b8f97db0_booking.webp,Hospitality & Tourism
Real Estate & PropTech — San Antonio,real-estate-san-antonio,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4ca,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"San Antonio's real estate market continues to expand across Southtown, the Dominion, and the Northwest Side. We build property search apps, virtual tour integrations, and CRM-connected lead management platforms for brokerages and property managers.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate & PropTech
HealthTech — Boston,healthtech-boston,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4cc,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"The Longwood Medical Area anchors Boston's healthcare innovation. We build HIPAA-compliant apps for telehealth, patient engagement, and clinical trial management.",1,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,HealthTech
FinTech — Boston,fintech-boston,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05effa36d9fe1f7202a4ce,false,false,Thu May 14 2026 15:53:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"From the Financial District to the Seaport, Boston's financial sector demands secure, scalable applications. We build trading platforms, payment integrations, and regulatory-compliant dashboards.",2,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,FinTech
